Entrez_ID,Gene,mouse_scBAT_count,mouse_iBAT_counts,mouse_WAT_count,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu,Human_Genbank_Accession,Human_Gene,Human_scBAT_FPKM,Human_WAT_FPKM,MouseSCBATvsWAT_LR,MouseSCBATvsWAT_PV
75553,Zc3h14,1818,1796,1848.6667,596.945,763.395,739.02,801.525,314.385,576.955,NM_207661,ZC3H14,12.4,5.05,1,0.0112
14675,Gna14,8.6667,5,17.6667,23.09,24.73,22.6367,23.8733,23.2267,18.4033,NM_004297,GNA14,1.13,0.55,0,0.64312
51869,Rif1,479.6667,487,1924.3333,216.455,155.9675,254.995,255.9,103.68,274.735,NM_001177665,RIF1,3.54,1.36,0,0.00083679
14211,Smc2,142.6667,139.6667,867.3333,45.818,37.886,30.192,97.354,29.892,63.748,NM_001042550,SMC2,4.21,2.07,0,5.57e-05
78833,Gins3,32.6667,39,211.3333,37.505,33.635,52.235,52.375,37.695,48.905,NM_001126130,GINS3,4.76,2.15,0,0.0011157
12797,Cnn1,50,69.3333,36.6667,72.71,25.09,5.09,15.58,15.44,122.28,NM_001299,CNN1,1.03,0.43,1,0.03525
18514,Pbx1,676.6667,610.3333,1372,338.196,447.022,450.036,388.124,298.048,567.94,NM_001204963,PBX1,5.01,1.62,0,0.28343
16331,Inpp5d,195.3333,178,3269,22.595,18.645,18.085,16.645,18.585,18.91,NM_005541,INPP5D,1.28,0.55,0,6.79e-11
19224,Ptgs1,136.3333,96.6667,351.6667,599.495,804.87,1780.04,1104.085,853.635,245.22,NM_001271367,PTGS1,17.63,5.33,0,0.090784
58198,Sall1,3.3333,0.66667,4,4.33,10.165,19.25,406.29,118.235,88.99,NM_002968,SALL1,4.54,0.07,1,0.63825
15115,Hars,1096,1005.6667,1491.6667,1435.66,1089.66,826.075,1340.175,1058.725,1088.42,NM_001258040,HARS,11.4,3.67,1,0.31338
22215,Ube3a,1327.6667,1358,1906.3333,238.5517,324.9233,360.79,269.7033,179.8117,357.0017,NM_130839,UBE3A,5.64,2.57,1,0.46957
24015,Abce1,2272.6667,2177,3240,572.3367,596.9,546.46,503.2967,303.8433,499.6533,NM_001040876,ABCE1,25.29,7.04,1,0.40044
73754,Thap1,201.6667,230.3333,287.6667,200.1,220.525,180.36,241.24,137.39,213.075,NM_199003,THAP1,1.17,0,1,0.55007
238377,Gpr68,14,18.3333,687.3333,32.21,61.02,45.54,25.16,51.79,60.28,NM_003485,GPR68,1.24,0.24,0,2.96e-10
26466,Zfp260,1101,1068.6667,1754.3333,360.778,464.35,560.634,390.622,361.734,533.564,NM_001166037,ZNF260,3.31,1.48,1,0.79367
170826,Ppargc1b,1742.3333,2045,262,582.83,465.4,567.26,461.23,147.15,373.58,NM_001172698,PPARGC1B,1.18,0.5,1,2.69e-26
228662,Btbd3,1157.3333,1188.3333,930.3333,192.6133,276.77,300.9633,161.2333,121.7567,185.7167,NM_014962,BTBD3,2.03,0.35,1,0.0024725
12801,Cnr1,4.6667,6.6667,214.6667,35.63,12.76,19.51,18.77,14.685,25.885,NM_001160226,CNR1,4.95,1.16,0,1.22e-12
224585,Zfp160,345,325,829.3333,156.765,144.295,121.31,191.775,95.5,173.93,NM_033288,ZNF160,3.83,1.54,0,0.13374
72565,Uaca,1121.6667,1167.3333,1943,472.9,369.85,515.4,316.49,405.52,599.81,NM_001008224,UACA,1.88,0.25,0,0.70675
66671,Ccnh,488,491,691.3333,830.6233,706.36,384.2667,829.55,657.5133,1046.71,NM_001199189,CCNH,5.09,1.3,1,0.4683
78749,Filip1l,423.3333,471.3333,3245.6667,238.8,319.56,252.06,422.58,257.16,273.33,NM_014890,FILIP1L,14.77,7.02,0,1.84e-07
233908,Fus,1979,1921,5081.3333,158.7733,132.99,124.8367,283.1267,163.3933,219.6867,NM_001170634,FUS,8.12,1.88,0,0.034714
