Entrez_ID,Gene,scBAT_counts,iBAT_counts,WAT_counts,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu
224432,Scaf4,781.3333,783.3333,1618.6667,242.9633,229.63,210.5933,201.09,229.4867,195.8933
224440,Setd4,129,131.6667,274.3333,117.8367,141.5867,164.5233,145.67,171.15,141
224454,Zdhhc14,133,142.3333,234.3333,37.3767,54.8633,52.2917,50.0083,54.33,41.0733
224481,Tfb1m,209,208,203.3333,102.985,121.91,97.665,82.935,56.78,97.9
224523,4732491K20Rik,66.6667,78.3333,40,24.54,18.92,33.17,34.14,49.64,24.46
224552,Vmn2r98,0,0,0,5.01,11.3,9.31,8.24,8.4,14.06
224585,Zfp160,345,325,829.3333,156.765,144.295,121.31,191.775,95.5,173.93
224598,Zfp758,334,366,625.3333,98.33,130.56,125.07,201.55,82.85,136.64
224613,Flywch1,867.3333,815.6667,902.6667,412.625,353.78,601.665,575.47,475.97,530.72
224617,Tbc1d24,617.3333,690,577.6667,145.4533,99.9367,137.0167,114.6433,100.3167,110.58
224619,Traf7,1306,1375.3333,2364.6667,480.18,392.14,589.04,545.07,531.81,538.35
224624,Rab40c,352.3333,356,593,320.165,268.675,383.74,351.08,358.55,272.185
224630,Bnip1,177.6667,198.6667,394.6667,236.59,169.37,241.69,225.57,223.17,154.36
224640,Lemd2,775.6667,795.3333,1231,774.35,941.9,977.84,1337.59,1218.43,616.92
224647,D17Wsu92e,6943.3333,6395.3333,5871,333.63,171.38,348.74,294.15,370.415,466.285
224648,Uhrf1bp1,1724.3333,1592.3333,1200,315.87,379.68,394.69,297.27,260.1,332.41
224650,Anks1,1920,2012,1759.6667,185.47,157.24,168.16,191.17,204.14,177.3
224656,Zfp523,426,425.6667,549.6667,129.665,103.21,154.385,125.245,116.59,228.52
224671,Btbd9,443.6667,429.3333,984.6667,87.6967,72.9967,79.71,82.87,62.92,75.5767
224674,Slc37a1,76.3333,101.3333,488.3333,8.9,17.37,26.99,17.96,26.24,19.81
224691,Zfp472,88.6667,74,423.6667,80.11,88.06,99.77,95.19,27.98,63.48
224694,Zfp81,70.3333,66.6667,231,40.5233,34.58,41.3633,53.6467,31.94,40.5867
224697,Adamts10,426.6667,489,2052,40.975,32.415,48.555,55,44.855,50.1
224703,2-Mar,2996.3333,3045.3333,2443.6667,379.765,393.02,342.3175,299.8825,400.495,497.285
224705,Vps52,1114.6667,1039.3333,1768.3333,169.055,147.965,189.265,158.815,166.19,181.915
224727,Bag6,3959.3333,4004,4516.3333,349.62,309.86,535.88,560.05,595.56,411.4
224742,Abcf1,2357.3333,2161.6667,3633,175.4717,182.14,193.0933,359.795,233.415,335.97
224762,Trim31,0,0,0,19.56,10.16,13.14,10.68,12.85,18.18
224792,Gpr116,8108,8225.6667,8567.3333,11.455,17.735,49.835,23.56,51.87,35.985
224794,Enpp4,752.3333,750.3333,1541.6667,253.825,174.99,231.94,166.755,138.5,171.4
224796,Clic5,5955.6667,7033.6667,1109.6667,22.0825,49.495,119.3675,38.03,86.4625,23.785
224805,Aars2,804.3333,815,481.6667,72.59,70.21,88.96,69.08,66.06,72.55
224807,Tmem63b,1472,1418,863,60.815,59.325,65.635,144.74,100.98,109.03
224813,Lrrc73,9.3333,6.6667,11.3333,41.28,23.18,26.77,38.58,37.89,21.57
224814,Abcc10,598.3333,735.3333,407.6667,19.35,7.865,13.12,18.115,10.965,19.155
224823,Rrp36,541.3333,566.6667,680.6667,410.15,207.6,284.12,375.24,228.65,378.85
224824,Pex6,4493.3333,4834,2416.3333,478.95,246.212,347.636,320.754,350.88,447.03
224826,Ubr2,3313.3333,3084.3333,3874.6667,164.9275,215.1,266.9175,178.275,160.9725,178.5125
224833,AI661453,18.3333,9.6667,55.6667,31.16,20.77,14.66,13.88,23.68,18.55
224836,Usp49,289.6667,286,554.6667,74.85,50.85,81.415,59.21,66.705,84.585
224840,Treml4,4.6667,5.3333,101.6667,30.72,22.35,17.25,12.14,14.58,11.87
224860,Plcl2,97.3333,58.3333,1682.3333,80.66,71.82,98.48,73.62,61.72,37.41
224893,Zfp959,85.3333,86.3333,342,34.88,66.25,53.06,98.22,43.44,54.39
224897,Dpp9,661.3333,547.6667,1381.6667,215.4,168.15,224.79,298.97,221.61,353.08
224902,Safb2,1151.6667,1143.6667,2616.6667,379.4067,348.9567,481.8633,440.87,406.75,477.89
224903,Safb,1399,1346.6667,2609,331.77,301.4675,387.565,407.305,317.3275,346.3225
224904,2410015M20Rik,3200.6667,3135.6667,1547.3333,1714.31,1465.22,1258.9,1249.65,1727.22,1915.88
224907,Dus3l,483.3333,512.6667,1077,191.155,159.115,167.95,190.115,170.32,178.07
224912,Crb3,15.6667,4,28.6667,32.97,54.5433,26.0633,49.9833,39.63,25.4633
224938,Pja2,2453.6667,2308.6667,3304.3333,570.235,579.955,729.1825,451.4175,416.2675,680.365
