Var1,Var2
1416477_at,1910.11
1416478_a_at,6468.36
1416479_a_at,1777.84
1416480_a_at,9394.66
1416481_s_at,603.16
1416482_at,31.05
1416483_at,339.51
1416484_at,25.14
1416485_at,3385.51
1416486_at,1679.06
1416487_a_at,115.13
1416488_at,2748.26
1416489_at,1534.85
1416490_at,5.54
1416491_at,265.3
1416492_at,151.36
1416493_at,1363.09
1416494_at,2608.85
1416495_s_at,3963.3
1416496_at,5727.08
1416497_at,646.55
1416498_at,1449.47
1416499_a_at,3519.96
1416500_at,1281.54
1416501_at,15.78
1416502_a_at,819.14
1416503_at,1462.9
1416504_at,33.2
1416505_at,2943.88
1416506_at,5650.86
1416507_at,15.62
1416508_at,3106.79
1416509_at,1216.19
1416510_at,1241.28
1416511_a_at,184.05
1416512_at,583.36
1416513_at,367.45
1416514_a_at,5136.51
1416515_at,22.2
1416516_at,42.91
1416517_at,211.58
1416518_at,4.96
1416519_at,14758.61
1416520_x_at,11464.46
1416521_at,275.66
1416522_a_at,1794.7
1416523_at,59.8
1416524_at,1924.45
1416525_at,48.84
1416526_a_at,1933.09
1416527_at,557.92
1416528_at,1448.51
1416529_at,3439.32
1416530_a_at,3461.2
1416531_at,4911.54
1416532_at,539.63
1416533_at,433.15
1416534_at,1041.98
1416535_at,230.49
1416536_at,285.12
1416537_at,1049.51
1416538_at,92.17
1416539_at,32.42
1416540_at,819.8
1416541_at,276.33
1416542_at,333.04
1416543_at,1618.33
1416544_at,151.77
1416545_at,310.51
1416546_a_at,12915.75
1416547_at,3484.83
1416548_at,280.15
1416549_at,108.22
1416550_at,154.81
1416551_at,916.97
1416552_at,37.46
1416553_at,637.92
1416554_at,759.02
1416555_at,813.49
1416556_at,3011.92
1416557_a_at,682.5
1416558_at,14.17
1416559_at,179.42
1416560_at,12.53
1416561_at,31.94
1416562_at,18.06
1416563_at,1147.21
1416564_at,47.29
1416565_at,6691.61
1416566_at,908.4
1416567_s_at,2874.36
1416568_a_at,26.85
1416569_at,174.4
1416570_s_at,523.59
1416571_at,38.63
1416572_at,36.88
1416573_at,134.34
1416574_at,632.08
1416575_at,63.36
1416576_at,328.19
1416577_a_at,2977.11
1416578_at,277.24
1416579_a_at,11.53
1416580_a_at,1961.23
1416581_at,438.32
1416582_a_at,617.99
1416583_at,706.1
1416584_at,362.62
1416585_at,591.75
1416586_at,105.73
1416587_a_at,295.96
1416588_at,522.65
1416589_at,4329.37
1416590_a_at,2041.22
1416591_at,2491.9
1416592_at,2667.45
1416593_at,367.92
1416594_at,469.29
1416595_at,990.2
1416596_at,5.54
1416597_at,258.84
1416598_at,232.24
1416599_at,228.73
1416600_a_at,242.52
1416601_a_at,25.6
1416602_a_at,116.47
1416603_at,9125.63
1416604_at,2993.9
1416605_at,1530.76
1416606_s_at,2298.89
1416607_at,1614.76
1416608_a_at,1018.57
1416609_at,1210.74
1416610_a_at,99.09
1416611_at,451.45
1416612_at,1626.91
1416613_at,121.3
1416614_at,2184.39
1416615_at,1274.42
1416616_s_at,1354.91
1416617_at,26.98
1416618_at,128.98
1416619_at,279.01
1416620_at,240.32
1416621_at,712.68
1416622_at,309.86
1416623_at,57.63
1416624_a_at,15052.01
1416625_at,2754.57
1416626_at,19.73
1416627_at,23.46
1416628_at,734.75
1416629_at,526.88
1416630_at,3773.97
1416631_at,224.83
1416632_at,2819.36
1416633_a_at,1093.37
1416634_at,602.76
1416635_at,514.16
1416636_at,6880.75
1416637_at,213.31
1416638_at,304.15
1416639_at,68.29
1416640_at,11.45
1416641_at,75.76
1416642_a_at,19347.39
1416643_at,3.29
1416644_a_at,5.55
1416645_a_at,12.72
1416646_at,18.91
1416647_at,990.35
1416648_at,1564.49
1416649_at,6.09
1416650_at,2.59
1416651_at,413.82
1416652_at,74.4
1416653_at,350.43
1416654_at,137.69
1416655_at,429.35
1416656_at,2013.51
1416657_at,1743.58
1416658_at,33.41
1416659_at,2710.28
1416660_at,105.96
1416661_at,6.91
1416662_at,205.3
1416663_at,1584.35
1416664_at,150
1416665_at,438.46
1416666_at,2371.32
1416667_at,861.29
1416668_at,3899.09
1416669_s_at,11693.84
1416670_at,25.1
1416671_a_at,118
1416672_s_at,224.5
1416673_at,119.41
1416674_at,35.18
1416675_s_at,227.59
1416676_at,18.22
1416677_at,90.69
1416678_at,1505.01
1416679_at,1070.37
1416680_at,487.47
1416681_at,230.67
1416682_at,150.52
1416683_at,618.3
1416684_at,2238.58
1416685_s_at,2063.83
1416686_at,1462.9
1416687_at,788.83
1416688_at,33.45
1416689_at,70.79
1416690_at,921.18
1416691_at,80.47
1416692_at,100.06
1416693_at,214.2
1416694_at,14.72
1416695_at,5220.59
1416696_at,756.72
1416697_at,8.92
1416698_a_at,2314.67
1416699_at,5877.77
1416700_at,1202.25
1416701_at,97.01
1416702_at,29.01
1416703_at,1266.71
1416704_at,45.47
1416705_at,651.95
1416706_at,277.92
1416707_a_at,1
1416708_a_at,585.35
1416709_a_at,319.06
1416710_at,109.78
1416711_at,57.34
1416712_at,596.42
1416713_at,112.07
1416714_at,54.42
1416715_at,35.27
1416716_at,94.68
1416717_at,14
1416718_at,2.58
1416719_a_at,13839.46
1416720_at,187.17
1416721_s_at,451.63
1416722_at,255.15
1416723_at,595.6
1416724_x_at,287.27
1416725_at,19.4
1416726_s_at,1458.22
1416727_a_at,12592.26
1416728_at,2759.8
1416729_at,10.57
1416730_at,804.23
1416731_at,955.1
1416732_at,20.81
1416733_at,553.7
1416734_at,17.77
1416735_at,1808.24
1416736_at,347.97
1416737_at,694.01
1416738_at,384.35
1416739_a_at,72.96
1416740_at,2132.03
1416741_at,34.04
1416742_at,1265.53
1416743_at,6095.42
1416744_at,221.19
1416745_x_at,457.77
1416746_at,447.05
1416747_at,610.2
