mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
15228,Foxg1,0,0,0,Inf,1,-Inf,1,NM_005249,FOXG1,3.52,0.63,2.49
20745,Spock1,0,4,0,-4.8617,0.015895,-Inf,1,NM_004598,SPOCK1,213.55,79.74,1.42
68259,Ift80,106.6667,1071.3333,105.3333,-2.5031,1.45e-06,-0.044332,0.84754,NM_001190242,IFT80,7.35,3.26,1.17
13120,Cyp4b1,969,2027.6667,916.6667,-0.38076,0.22867,0.017785,0.89478,NM_001099772,CYP4B1,53.91,8.88,2.6
59013,Hnrnph1,2650.6667,6182,2633.6667,-0.45858,0.12472,-0.05857,0.61965,NM_005520,HNRNPH1,263.65,114.2,1.21
20183,Rxrg,654.6667,363.3333,677,1.5273,1.82e-05,-0.11483,0.36862,NM_001256571,RXRG,8.61,1.84,2.22
214425,Cilp,19.3333,224.3333,35.3333,-2.7424,8.56e-07,-0.94248,0.030135,NM_003613,CILP,1.5,0.37,2
236900,Pdk3,45,462.3333,35,-2.5752,1.09e-07,0.28968,0.35521,NM_001142386,PDK3,3.68,1.77,1.05
232087,Mat2a,4488,6893.6667,4089,0.074743,0.79841,0.055473,0.75379,NM_005911,MAT2A,612.19,184.24,1.73
226251,Ablim1,4048,13624.6667,4286.3333,-0.97595,0.0019078,-0.143,0.31109,NM_006720,ABLIM1,7.82,3.14,1.32
50530,Mfap5,335.6667,629.6667,139.6667,-0.31055,0.5617,1.1913,8.2e-08,NM_003480,MFAP5,43.26,18.14,1.25
105377,Ankrd32,206.3333,561,234,-0.69095,0.060153,-0.24091,0.223,NM_032290,ANKRD32,5.89,2.63,1.16
66645,Pspc1,249.3333,661.3333,234.3333,-0.63829,0.085477,0.02199,0.90361,NM_001042414,PSPC1,49.61,24.39,1.02
72171,Shq1,86.3333,180.3333,67.6667,-0.3062,0.47985,0.28623,0.24957,NM_018130,SHQ1,13.18,6.55,1.01
20379,Sfrp4,22.3333,123,7,-1.8309,0.0025451,1.59,0.00036038,NM_003014,SFRP4,1.3,0.22,2.57
13518,Dst,5942.6667,12304.3333,5820,-0.42552,0.28801,-0.03766,0.76735,NM_015548,DST,21.68,8.83,1.3
414801,Itprip,79,984.6667,73.3333,-2.8094,7.94e-07,0.037675,0.91875,NM_001272012,ITPRIP,8.29,3.71,1.16
217333,Trim47,262.6667,642.3333,218,-0.58328,0.091819,0.19651,0.28907,NM_033452,TRIM47,12.47,5.93,1.07
18167,Npy2r,0,1,0,-2.895,0.51739,-Inf,1,NM_000910,NPY2R,1.58,0.38,2.04
67134,Nop56,500.6667,1778.3333,430.3333,-1.0293,0.0080491,0.14653,0.35494,NM_006392,NOP56,109.02,53.25,1.03
245474,Dkc1,887,1584,817,-0.07639,0.79838,0.054368,0.66214,NM_001363,DKC1,107.48,52.99,1.02
102103,Mtus1,4607.6667,3641.3333,4493.6667,0.98271,0.0074637,-0.028227,0.81737,NM_020749,MTUS1,5.19,0.74,2.82
13537,Dusp2,12.3333,1172,17,-5.7225,2.37e-10,-0.53665,0.2324,NM_004418,DUSP2,3.29,0.54,2.6
13394,Dlx4,0.66667,2,0,-0.82516,0.51879,2.6262,0.51272,NM_001934,DLX4,1.71,0.31,2.45
382111,Susd5,34.3333,15.6667,30,1.8202,0.00053318,0.12633,0.68174,NM_015551,SUSD5,4.45,1.95,1.19
227753,Gsn,23686.6667,102909,17095.3333,-1.4627,4.71e-05,0.40179,0.0025551,NM_001258029,GSN,254.09,112.75,1.17
67966,Zcchc10,111.3333,265.6667,124.6667,-0.50978,0.21308,-0.23265,0.27918,NM_017665,ZCCHC10,10.69,4.77,1.16
