ID,Gene Symbol,ENTREZ_GENE_ID
1416322_at,Prelp,116847
1416323_at,Kctd20,66989
1416324_s_at,Kctd20,66989
1416325_at,Crisp1,11571
1416326_at,Crip1,12925
1416327_at,Ufc1,66155
1416328_a_at,Atp6v0e,11974
1416329_at,Cyfip1,20430
1416330_at,Cd81,12520
1416331_a_at,Nfe2l1,18023
1416332_at,Cirbp,12696
1416333_at,Dok2,13449
1416334_at,Wwox,80707
1416335_at,Mif,17319
1416336_s_at,Gm14277 /// Snrpd1,20641 /// 100043882
1416337_at,Uqcrb,67530
1416338_at,Sh3gl1,20405
1416339_a_at,Prkcsh,19089
1416340_a_at,Man2b1,17159
1416341_at,Polr2c,20021
1416342_at,Tnc,21923
1416343_a_at,Lamp2,16784
1416344_at,Lamp2,16784
1416345_at,Timm8a1,30058
1416346_at,Timm8a1,30058
1416347_at,Men1,17283
1416348_at,Men1,17283
1416349_at,Mrpl34,94065
1416350_at,Klf16,118445
1416351_at,Map2k1,26395
1416352_s_at,Tecr,106529
1416353_at,Nr1h2,22260
1416354_at,Rbmx,19655
1416355_at,Rbmx,19655
1416356_at,Gmpr2,105446
1416357_a_at,Mcam,84004
1416358_at,Mfsd10,68294
1416359_at,Snx18,170625
1416360_at,Snx18,170625
1416361_a_at,Dync1i1,13426
1416362_a_at,Fkbp4,14228
1416363_at,Fkbp4 /// LOC102642559,14228 /// 102642559
1416364_at,Hsp90ab1,15516
1416365_at,Hsp90ab1,15516
1416366_at,LOC102641347 /// Ndufc2,68197 /// 102641347
1416367_at,1110001J03Rik,66117
1416368_at,Gsta4,14860
1416369_at,Hiatl1,66631
1416370_at,Zscan21,22697
1416371_at,Apod,11815
1416372_at,Ptdss1,19210
1416373_at,Nfs1,18041
1416374_at,Ap3m1,55946
1416375_at,Ap3m1,55946
1416376_at,Tmem97,69071
1416377_at,Pdcd7,50996
1416378_at,Pnkp,59047
1416379_at,Panx1,55991
1416380_at,Mov10,17454
1416381_a_at,Prdx5,54683
1416382_at,Ctsc,13032
1416383_a_at,Pcx,18563
1416384_a_at,Cope,59042
1416385_a_at,M6pr,17113
1416386_a_at,M6pr,17113
1416387_at,Pip4k2c,117150
1416388_at,Pip4k2c,117150
1416389_a_at,Rcbtb2,105670
1416390_at,Rcbtb2,105670
1416391_at,Ptcd1,71799
1416392_a_at,Atp6v0c,11984
1416393_at,Emg1,14791
1416394_at,Bag1,12017
1416395_at,Guk1,14923
1416396_at,Snx4,69150
1416397_at,Mesdc1,80889
1416398_at,Mesdc1,80889
1416399_a_at,Hmox2,15369
1416400_at,Pycrl,66194
1416401_at,Cd82,12521
1416402_at,Abcb10,56199
1416403_at,Abcb10,56199
1416404_s_at,LOC100862433 /// Rps16 /// Rps16-ps2,20055 /// 100039355 /// 100862433
1416405_at,Bgn,12111
1416406_at,Pea15a,18611
1416407_at,Pea15a,18611
1416408_at,Acox1,11430
1416409_at,Acox1,11430
1416410_at,Pafah1b3,18476
1416411_at,Gstm2,14863
1416412_at,Nsmaf,18201
1416413_at,Ctsj,26898
1416414_at,Emilin1,100952
1416415_a_at,Gm8203 /// H2afz,51788 /// 666634
1416416_x_at,Gstm1,14862
1416417_a_at,Ndufb7,66916
1416418_at,Gabarapl1,57436
1416419_s_at,Gabarapl1,57436
1416420_a_at,Gm5451 /// LOC101056029 /// Rpl9,20005 /// 432768 /// 101056029
1416421_a_at,Ssb,20823
1416422_a_at,Ssb,20823
1416423_x_at,Ssb,20823
1416424_at,Plin3,66905
1416425_at,Pex19,19298
1416426_at,Rab5a,271457
1416427_at,Ccni,12453
1416428_at,Thap11,59016
1416429_a_at,Cat,12359
1416430_at,Cat,12359
1416431_at,Tubb6,67951
