Var1,Var2
1416611_at,463.35
1416612_at,3475.24
1416613_at,261.63
1416614_at,3006.93
1416615_at,958.27
1416616_s_at,923.03
1416617_at,7.96
1416618_at,152.38
1416619_at,390.42
1416620_at,172.3
1416621_at,798.08
1416622_at,285.69
1416623_at,17.14
1416624_a_at,15187.26
1416625_at,4229.87
1416626_at,24.61
1416627_at,14.1
1416628_at,196.58
1416629_at,339.1
1416630_at,2144.72
1416631_at,399.53
1416632_at,2357.51
1416633_a_at,1055.03
1416634_at,703.03
1416635_at,1283.64
1416636_at,5659.53
1416637_at,162.99
1416638_at,484.95
1416639_at,87.27
1416640_at,13.71
1416641_at,88.37
1416642_a_at,20561.34
1416643_at,4.68
1416644_a_at,12.71
1416645_a_at,10.76
1416646_at,22.94
1416647_at,581.51
1416648_at,1897.38
1416649_at,5.86
1416650_at,1
1416651_at,448.94
1416652_at,38.26
1416653_at,464.16
1416654_at,180.72
1416655_at,352.85
1416656_at,924.05
1416657_at,1348.01
1416658_at,25.86
1416659_at,4457.54
1416660_at,201.92
1416661_at,222.32
1416662_at,209.76
1416663_at,1465.14
1416664_at,199.21
1416665_at,159.82
1416666_at,2736.23
1416667_at,617.52
1416668_at,3050.94
1416669_s_at,13482.4
1416670_at,20.58
1416671_a_at,164.16
1416672_s_at,202.93
1416673_at,63.22
1416674_at,92.25
1416675_s_at,319.18
1416676_at,29.07
1416677_at,83.73
1416678_at,2154.34
1416679_at,983.85
1416680_at,1449.85
1416681_at,307.72
1416682_at,206.32
1416683_at,955.92
1416684_at,1316.66
1416685_s_at,1243.09
1416686_at,1953.13
1416687_at,1244.7
1416688_at,32.3
1416689_at,94.31
1416690_at,1236.68
1416691_at,281.57
1416692_at,118.86
1416693_at,647.05
1416694_at,5.47
1416695_at,2804.7
1416696_at,604.28
1416697_at,1
1416698_a_at,1335.44
1416699_at,4549.82
1416700_at,1775.43
1416701_at,479.54
1416702_at,385.25
1416703_at,1819.05
1416704_at,50.85
1416705_at,644.66
1416706_at,534.15
1416707_a_at,1
1416708_a_at,675.68
1416709_a_at,520.06
1416710_at,18.1
1416711_at,12.43
1416712_at,361.48
1416713_at,51.96
1416714_at,22.18
1416715_at,16.77
1416716_at,26.12
1416717_at,8.4
1416718_at,1.24
1416719_a_at,14698.57
1416720_at,253.26
1416721_s_at,450.36
1416722_at,800.78
1416723_at,858.35
1416724_x_at,696.38
1416725_at,17.97
1416726_s_at,832.11
1416727_a_at,10117.59
1416728_at,2471.6
1416729_at,8.07
1416730_at,783.3
1416731_at,844.33
1416732_at,114.58
1416733_at,769.18
1416734_at,11.38
1416735_at,2008.7
1416736_at,304.52
1416737_at,1030.19
1416738_at,349.72
1416739_a_at,69.61
1416740_at,4268.56
1416741_at,116.68
1416742_at,1369.6
1416743_at,11735.83
1416744_at,651.09
1416745_x_at,1064.65
1416746_at,531.57
1416747_at,579.9
1416748_a_at,150.26
1416749_at,5170.85
1416750_at,756.61
1416751_a_at,285.7
1416752_at,6.6
1416753_at,188.06
1416754_at,11.78
1416755_at,2304.81
1416756_at,3691.8
1416757_at,35.36
1416758_at,8.64
1416759_at,272.52
1416760_at,769.69
1416761_at,16.62
1416762_at,3397.64
1416763_at,266.36
1416764_at,1333.95
1416765_s_at,1853.43
1416766_at,2726.27
1416767_a_at,3512.81
1416768_at,4736.36
1416769_s_at,447.47
1416770_at,476.12
1416771_at,206.54
1416772_at,1067.48
1416773_at,754.25
1416774_at,198.75
1416775_at,152.84
1416776_at,7.59
1416777_at,12.37
1416778_at,1925.93
1416779_at,654.87
1416780_at,453.8
1416781_at,461.23
1416782_s_at,693.47
1416783_at,3.58
1416784_at,11.05
1416785_at,30.88
1416786_at,119.61
1416787_at,32.21
1416788_a_at,2823.23
1416789_at,2316.56
1416790_a_at,656.34
1416791_a_at,1060.65
1416792_at,625.91
1416793_at,1328.11
1416794_at,473.32
1416795_at,39.58
1416796_at,380.13
1416797_at,39.35
1416798_a_at,107.85
1416799_at,812.02
1416800_at,259.1
1416801_at,200.03
1416802_a_at,206.48
1416803_at,1947.43
1416804_at,215.87
1416805_at,852.63
1416806_at,100.89
1416807_at,12004.14
1416808_at,12768.23
1416809_at,12.85
1416810_at,550.14
1416811_s_at,16228.04
1416812_at,346.74
1416813_at,188.36
1416814_at,130.51
1416815_s_at,1730.91
1416816_at,2597.38
1416817_at,357.83
1416818_at,492.51
1416819_at,2079.41
1416820_at,63.34
1416821_at,246.96
1416822_at,52.1
1416823_a_at,291.35
1416824_at,447.82
1416825_at,750.51
1416826_a_at,689.8
1416827_at,41.73
1416828_at,8.09
1416829_at,10105.57
1416830_at,1141.78
1416831_at,307.93
1416832_at,400.69
1416833_at,14.99
1416834_x_at,576.46
1416835_s_at,829.1
1416836_at,1691.7
1416837_at,207.79
1416838_at,943.2
1416839_at,52.18
1416840_at,750.1
1416841_at,501.39
1416842_at,1075
1416843_at,382.53
1416844_at,185.44
1416845_at,173.48
1416846_a_at,3196.36
1416847_s_at,12.37
1416848_at,3943.21
1416849_at,1213.28
1416850_s_at,2260.22
1416851_at,11.35
1416852_a_at,405.58
1416853_at,127.4
1416854_at,48.51
1416855_at,1768.23
1416856_at,3837.84
1416857_at,2303.56
1416858_a_at,1704.43
1416859_at,783.33
1416860_s_at,1190.83
1416861_at,926.62
1416862_at,291.32
1416863_at,131.47
1416864_at,523.32
1416865_at,170.05
1416866_at,396.21
1416867_at,441.83
1416868_at,898.8
1416869_x_at,90.42
1416870_at,389.81
1416871_at,83.6
1416872_at,152.41
1416873_a_at,270.73
1416874_a_at,437.51
1416875_at,14.59
1416876_at,43.86
1416877_a_at,1860.75
1416878_at,83.1
1416879_at,59.96
1416880_at,3291.61
1416881_at,2256.44
1416882_at,731.12
1416883_at,739.7
1416884_at,3164.13
1416885_at,255
1416886_at,21.93
1416887_at,5.57
1416888_at,104.44
1416889_at,5.09
1416890_at,1047.39
1416891_at,619.82
1416892_s_at,632.88
1416893_at,149.59
1416894_at,143
1416895_at,23.98
1416896_at,91
1416897_at,502.88
1416898_a_at,172.73
1416899_at,1
1416900_s_at,101.96
1416901_at,13777.81
1416902_a_at,4438.96
1416903_at,1766.36
1416904_at,3279.21
1416905_at,34.49
1416906_at,1339.06
1416907_at,486.27
1416908_s_at,1788.47
1416909_at,320.21
1416910_at,812.21
1416911_a_at,1217.53
1416912_at,2007.9
1416913_at,2.45
1416914_s_at,324.74
1416915_at,405.56
1416916_at,66.38
1416917_at,883.46
1416918_at,496.85
1416919_a_at,164.74
1416920_at,235.74
1416921_x_at,16635.39
1416922_a_at,4788.95
1416923_a_at,1529.06
1416924_at,4489.72
1416925_at,1341.11
1416926_at,6438.84
1416927_at,30.17
1416928_at,588.9
1416929_at,82.63
1416930_at,52.12
1416931_at,510.04
1416932_at,396.46
1416933_at,2745.02
1416934_at,455.58
1416935_at,797.54
1416936_at,21.5
1416937_at,7989.49
1416938_at,916.98
1416939_at,3724.93
1416940_at,212.84
1416941_s_at,8532.68
1416942_at,116.63
1416943_at,1961.15
1416944_a_at,438.8
1416945_at,84.52
1416946_a_at,831.08
1416947_s_at,1657.9
1416948_at,881.56
1416949_s_at,966.76
1416950_at,811.18
1416951_a_at,2220.6
1416952_at,1469.31
1416953_at,1109.32
1416954_at,480.34
1416955_at,145.76
1416956_at,369.6
1416957_at,24.45
